stem,algo,dimension,score
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mapreduce,coverage,4
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mapreduce,hierarchy,4
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mapreduce,balance,5
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mapreduce,conciseness,4
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,mapreduce,accuracy,3
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,original,coverage,3
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,original,hierarchy,4
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,original,balance,4
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,original,conciseness,4
01_2411.18279v12_Large_Language_Model-Brained_GUI_Agents__A_Survey,original,accuracy,3
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mapreduce,coverage,4
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mapreduce,hierarchy,4
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mapreduce,balance,4
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mapreduce,conciseness,5
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,mapreduce,accuracy,4
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,original,coverage,3
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,original,hierarchy,4
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,original,balance,4
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,original,conciseness,4
02_2505.04921v2_Perception__Reason__Think__and_Plan__A_Survey_on_Large_Multimodal_Reasoning_Models,original,accuracy,3
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,mapreduce,coverage,4
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,mapreduce,hierarchy,4
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,mapreduce,balance,4
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,mapreduce,conciseness,4
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,mapreduce,accuracy,2
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,original,coverage,3
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,original,hierarchy,4
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,original,balance,4
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,original,conciseness,3
03_2312.11562v5_A_Survey_of_Reasoning_with_Foundation_Models,original,accuracy,2
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,mapreduce,coverage,3
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,mapreduce,hierarchy,4
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,mapreduce,balance,4
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,mapreduce,conciseness,4
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,mapreduce,accuracy,2
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,original,coverage,4
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,original,hierarchy,4
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,original,balance,4
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,original,conciseness,3
04_1701.07274v6_Deep_Reinforcement_Learning__An_Overview,original,accuracy,4
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,mapreduce,coverage,4
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,mapreduce,hierarchy,5
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,mapreduce,balance,4
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,mapreduce,conciseness,5
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,mapreduce,accuracy,4
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,original,coverage,3
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,original,hierarchy,4
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,original,balance,4
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,original,conciseness,3
05_2209.00796v15_Diffusion_Models__A_Comprehensive_Survey_of_Methods_and_Applications,original,accuracy,4
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,mapreduce,coverage,5
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,mapreduce,hierarchy,5
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,mapreduce,balance,5
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,mapreduce,conciseness,5
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,mapreduce,accuracy,4
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,original,coverage,4
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,original,hierarchy,4
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,original,balance,4
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,original,conciseness,4
06_2302.10473v6_Oriented_object_detection_in_optical_remote_sensing_images_using_deep_learning__a_survey,original,accuracy,4
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,mapreduce,coverage,5
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,mapreduce,hierarchy,4
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,mapreduce,balance,4
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,mapreduce,conciseness,5
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,mapreduce,accuracy,4
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,original,coverage,4
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,original,hierarchy,5
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,original,balance,5
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,original,conciseness,4
07_1912.12033v2_Deep_Learning_for_3D_Point_Clouds__A_Survey,original,accuracy,4
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,mapreduce,coverage,4
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,mapreduce,hierarchy,4
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,mapreduce,balance,4
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,mapreduce,conciseness,4
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,mapreduce,accuracy,4
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,original,coverage,3
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,original,hierarchy,4
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,original,balance,4
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,original,conciseness,4
08_2502.08826v3_Ask_in_Any_Modality__A_Comprehensive_Survey_on_Multimodal_Retrieval-Augmented_Generation,original,accuracy,3
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,mapreduce,coverage,5
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,mapreduce,hierarchy,4
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,mapreduce,balance,5
09_2509.16679v1_Reinforcement_Learning_Meets_Large_Language_Models__A_Survey_of_Advancements_and_Applications_Across_the_LLM_Lifecycle,mapreduce,conciseness,5
